"CTYNAME","Pop","GrowthRate"
"King County",2233163,"15.2080"
"Pierce County",891299,"12.0577"
"Snohomish County",814901,"13.8914"
"Spokane County",514631,"9.0114"
"Clark County",481857,"12.9240"
"Thurston County",286419,"13.2109"
"Kitsap County",269805,"7.2033"
"Yakima County",251446,"2.9382"
"Whatcom County",225685,"11.9764"
"Benton County",201877,"14.4006"
"Skagit County",128206,"9.6209"
"Cowlitz County",108987,"6.4773"
"Grant County",97331,"8.6659"
"Franklin County",94347,"19.3012"
"Island County",84460,"7.3326"
"Lewis County",79604,"5.4288"
"Chelan County",77036,"5.8827"
"Clallam County",76737,"7.3110"
"Grays Harbor County",73901,"1.4524"
"Mason County",65507,"7.8571"
"Walla Walla County",60922,"3.3978"
"Whitman County",49791,"11.1555"
"Kittitas County",47364,"15.5530"
"Stevens County",45260,"4.1322"
"Douglas County",42907,"11.4033"
"Okanogan County",42132,"2.1902"
"Jefferson County",31729,"6.1490"
"Asotin County",22610,"4.0736"
"Klickitat County",22107,"8.4953"
"Pacific County",22036,"5.5465"
"Adams County",19759,"5.1626"
"San Juan County",17128,"8.5150"
"Pend Oreille County",13602,"5.0429"
"Skamania County",11924,"7.2785"
"Lincoln County",10740,"1.5603"
"Ferry County",7649,"1.3918"
"Wahkiakum County",4426,"11.1223"
"Columbia County",4059,"-0.8549"
"Garfield County",2247,"-0.6192"
